station,month,wdsp
MULLINGAR,8,6.1153227719640455
MULLINGAR,9,6.587391067538126
MULLINGAR,10,7.2079301890274445
MULLINGAR,11,7.4298967690038875
MULLINGAR,12,8.00263601855757
NEWPORT,1,10.442559208200779
NEWPORT,2,10.57647328594359
NEWPORT,3,10.105510752688172
NEWPORT,4,9.364444444444445
NEWPORT,5,9.518648648648648
NEWPORT,6,8.645486111111111
NEWPORT,7,8.136290322580646
NEWPORT,8,8.676747311827956
NEWPORT,9,8.705668807595643
NEWPORT,10,9.467137096774193
NEWPORT,11,9.647602501737317
NEWPORT,12,10.671783263775907
OAK PARK,1,8.25089605734767
OAK PARK,2,8.423049943883278
OAK PARK,3,8.048771121351766
OAK PARK,4,7.252314814814815
OAK PARK,5,7.13104029019303
OAK PARK,6,6.5997056659308315
OAK PARK,7,6.614577259475219
